央视,#genre#
CCTV12,http://10.11.43.21/PLTV/88888912/224/3221226663/426212066.smil/01.m3u8?fmt=ts2hls
CCTV14,http://10.11.43.21/PLTV/88888912/224/3221226742/426211170.smil/01.m3u8?fmt=ts2hls
CCTV15,http://10.11.43.21/PLTV/88888912/224/3221226689/426211980.smil/01.m3u8?fmt=ts2hls
内蒙古卫视,http://10.11.43.21/PLTV/88888912/224/3221226081/10000100000000060000000000662884_0.smil/01.m3u8?fmt=ts2hls
内蒙古新闻综合,http://10.11.43.21/PLTV/88888912/224/3221226083/10000100000000060000000000662899_0.smil/01.m3u8?fmt=ts2hls
内蒙古经济生活,http://10.11.43.21/PLTV/88888912/224/3221226082/10000100000000060000000000662897_0.smil/01.m3u8?fmt=ts2hls
内蒙古文体娱乐,http://10.11.43.21/PLTV/88888912/224/3221226084/10000100000000060000000000662900_0.smil/01.m3u8?fmt=ts2hls
内蒙古农牧频道,http://10.11.43.21/PLTV/88888912/224/3221226079/10000100000000060000000000662787_0.smil/01.m3u8?fmt=ts2hls
内蒙古少儿频道,http://10.11.43.21/PLTV/88888912/224/3221226080/10000100000000060000000000662883_0.smil/01.m3u8?fmt=ts2hls
内蒙古蒙语卫视,http://10.11.43.21/PLTV/88888912/224/3221226085/10000100000000060000000000663203_0.smil/01.m3u8?fmt=ts2hls
内蒙古蒙语文化,http://10.11.43.21/PLTV/88888912/224/3221226087/10000100000000060000000000663218_0.smil/01.m3u8?fmt=ts2hls
东南卫视,http://10.11.43.21/PLTV/88888912/224/3221226717/426211178.smil/01.m3u8?fmt=ts2hls
辽宁卫视,http://10.11.43.21/PLTV/88888912/224/3221226738/426211186.smil/01.m3u8?fmt=ts2hls
广东卫视,http://10.11.43.21/PLTV/88888912/224/3221226705/426211909.smil/01.m3u8?fmt=ts2hls
湖北卫视,http://10.11.43.21/PLTV/88888912/224/3221226726/426211936.smil/01.m3u8?fmt=ts2hls
山东卫视,http://10.11.43.21/PLTV/88888912/224/3221226703/426211162.smil/01.m3u8?fmt=ts2hls
贵州卫视,http://10.11.43.21/PLTV/88888912/224/3221226732/426212038.smil/01.m3u8?fmt=ts2hls
天津卫视,http://10.11.43.21/PLTV/88888912/224/3221226693/426211952.smil/01.m3u8?fmt=ts2hls
东方卫视,http://10.11.43.21/PLTV/88888912/224/3221226756/426211900.smil/01.m3u8?fmt=ts2hls
北京卫视,http://10.11.43.21/PLTV/88888912/224/3221226748/426211932.smil/01.m3u8?fmt=ts2hls
